TRatePercent,Health_Events,Geography,CalendarYear,Gender,RaceEthnicity,Textbox3,DT_Count,DT_Population,DT_RATE,DT_LB,DT_UB1,Significance,County_Code
   Age-Adjusted Rate,Asthma,Bradford,2009,Total,White,All ages,68,"59,745",11.0,8.4,13.6,,015
   Age-Adjusted Rate,Asthma,Bradford,2009,Total,White,5 to 14,ND,"7,328",ND,ND,ND,-,015
   Age-Adjusted Rate,Asthma,Bradford,2009,Total,White,15 to 34,10,"12,927",ND,ND,ND,-,015
   Age-Adjusted Rate,Asthma,Bradford,2009,Total,White,35 to 64,31,"25,360",12.6,8.2,17.0,,015
   Age-Adjusted Rate,Asthma,Bradford,2009,Total,White,65+,17,"10,499",ND,ND,ND,-,015
   Age-Adjusted Rate,Asthma,Bradford,2009,Total,Black,All ages,ND,345,ND,ND,ND,-,015
   Age-Adjusted Rate,Asthma,Bradford,2009,Total,Black,5 to 14,ND,78,ND,ND,ND,-,015
   Age-Adjusted Rate,Asthma,Bradford,2009,Total,Black,15 to 34,ND,120,ND,ND,ND,-,015
   Age-Adjusted Rate,Asthma,Bradford,2009,Total,Black,35 to 64,ND,86,ND,ND,ND,-,015
   Age-Adjusted Rate,Asthma,Bradford,2009,Total,Black,65+,ND,32,ND,ND,ND,-,015
   Age-Adjusted Rate,Asthma,Bradford,2009,Total,Hispanic,All ages,ND,528,ND,ND,ND,-,015
   Age-Adjusted Rate,Asthma,Bradford,2009,Total,Hispanic,5 to 14,ND,108,ND,ND,ND,-,015
   Age-Adjusted Rate,Asthma,Bradford,2009,Total,Hispanic,15 to 34,ND,186,ND,ND,ND,-,015
   Age-Adjusted Rate,Asthma,Bradford,2009,Total,Hispanic,35 to 64,ND,147,ND,ND,ND,-,015
   Age-Adjusted Rate,Asthma,Bradford,2009,Total,Hispanic,65+,ND,32,ND,ND,ND,-,015
   Age-Adjusted Rate,Asthma,Bucks,2009,Total,All Races,All ages,912,"626,015",14.1,13.2,15.0,-,017
   Age-Adjusted Rate,Asthma,Bucks,2009,Total,All Races,5 to 14,96,"79,970",12.1,9.7,14.5,-,017
   Age-Adjusted Rate,Asthma,Bucks,2009,Total,All Races,15 to 34,88,"143,725",6.2,4.9,7.5,-,017
   Age-Adjusted Rate,Asthma,Bucks,2009,Total,All Races,35 to 64,346,"276,570",12.2,10.9,13.5,-,017
   Age-Adjusted Rate,Asthma,Bucks,2009,Total,All Races,65+,264,"90,433",28.5,25.1,31.9,,017
   Age-Adjusted Rate,Asthma,Bucks,2009,Total,White,All ages,756,"572,585",12.6,11.7,13.5,+,017
   Age-Adjusted Rate,Asthma,Bucks,2009,Total,White,5 to 14,59,"70,532",8.5,6.3,10.7,,017
   Age-Adjusted Rate,Asthma,Bucks,2009,Total,White,15 to 34,76,"130,237",5.8,4.5,7.1,,017
   Age-Adjusted Rate,Asthma,Bucks,2009,Total,White,35 to 64,290,"255,361",11.2,9.9,12.5,,017
   Age-Adjusted Rate,Asthma,Bucks,2009,Total,White,65+,241,"86,328",27.2,23.8,30.6,+,017
   Age-Adjusted Rate,Asthma,Bucks,2009,Total,Black,All ages,79,"23,488",33.5,26.1,40.9,-,017
   Age-Adjusted Rate,Asthma,Bucks,2009,Total,Black,5 to 14,17,"4,051",ND,ND,ND,-,017
   Age-Adjusted Rate,Asthma,Bucks,2009,Total,Black,15 to 34,ND,"6,182",ND,ND,ND,-,017
   Age-Adjusted Rate,Asthma,Bucks,2009,Total,Black,35 to 64,36,"9,445",37.4,25.2,49.6,-,017
   Age-Adjusted Rate,Asthma,Bucks,2009,Total,Black,65+,11,"1,799",ND,ND,ND,-,017
   Age-Adjusted Rate,Asthma,Bucks,2009,Total,Hispanic,All ages,22,"23,491",11.1,6.5,15.7,-,017
   Age-Adjusted Rate,Asthma,Bucks,2009,Total,Hispanic,5 to 14,ND,"4,375",ND,ND,ND,-,017
   Age-Adjusted Rate,Asthma,Bucks,2009,Total,Hispanic,15 to 34,ND,"7,148",ND,ND,ND,-,017
   Age-Adjusted Rate,Asthma,Bucks,2009,Total,Hispanic,35 to 64,ND,"7,937",ND,ND,ND,-,017
   Age-Adjusted Rate,Asthma,Bucks,2009,Total,Hispanic,65+,ND,"1,171",ND,ND,ND,-,017
   Age-Adjusted Rate,Asthma,Butler,2009,Total,All Races,All ages,248,"184,694",12.3,10.8,13.8,-,019
   Age-Adjusted Rate,Asthma,Butler,2009,Total,All Races,5 to 14,13,"23,439",ND,ND,ND,-,019
   Age-Adjusted Rate,Asthma,Butler,2009,Total,All Races,15 to 34,23,"43,953",5.3,3.1,7.5,-,019
   Age-Adjusted Rate,Asthma,Butler,2009,Total,All Races,35 to 64,118,"78,736",14.5,11.9,17.1,-,019
   Age-Adjusted Rate,Asthma,Butler,2009,Total,All Races,65+,77,"28,166",26.5,20.6,32.4,,019
   Age-Adjusted Rate,Asthma,Butler,2009,Total,White,All ages,234,"179,552",11.8,10.3,13.3,,019
   Age-Adjusted Rate,Asthma,Butler,2009,Total,White,5 to 14,12,"22,472",ND,ND,ND,-,019
   Age-Adjusted Rate,Asthma,Butler,2009,Total,White,15 to 34,22,"42,284",5.3,3.1,7.5,,019
   Age-Adjusted Rate,Asthma,Butler,2009,Total,White,35 to 64,114,"77,124",14.3,11.7,16.9,,019
   Age-Adjusted Rate,Asthma,Butler,2009,Total,White,65+,73,"27,841",25.1,19.3,30.9,,019
   Age-Adjusted Rate,Asthma,Butler,2009,Total,Black,All ages,ND,"1,970",ND,ND,ND,-,019
   Age-Adjusted Rate,Asthma,Butler,2009,Total,Black,5 to 14,ND,345,ND,ND,ND,-,019
   Age-Adjusted Rate,Asthma,Butler,2009,Total,Black,15 to 34,ND,757,ND,ND,ND,-,019
   Age-Adjusted Rate,Asthma,Butler,2009,Total,Black,35 to 64,ND,631,ND,ND,ND,-,019
   Age-Adjusted Rate,Asthma,Butler,2009,Total,Black,65+,ND,100,ND,ND,ND,-,019
   Age-Adjusted Rate,Asthma,Butler,2009,Total,Hispanic,All ages,ND,"1,927",ND,ND,ND,-,019
   Age-Adjusted Rate,Asthma,Butler,2009,Total,Hispanic,5 to 14,ND,403,ND,ND,ND,-,019
   Age-Adjusted Rate,Asthma,Butler,2009,Total,Hispanic,15 to 34,ND,650,ND,ND,ND,-,019
   Age-Adjusted Rate,Asthma,Butler,2009,Total,Hispanic,35 to 64,ND,570,ND,ND,ND,-,019
   Age-Adjusted Rate,Asthma,Butler,2009,Total,Hispanic,65+,ND,92,ND,ND,ND,-,019
   Age-Adjusted Rate,Asthma,Cambria,2009,Total,All Races,All ages,180,"143,998",11.7,10.0,13.4,-,021
   Age-Adjusted Rate,Asthma,Cambria,2009,Total,All Races,5 to 14,16,"15,580",ND,ND,ND,-,021
   Age-Adjusted Rate,Asthma,Cambria,2009,Total,All Races,15 to 34,20,"34,153",5.9,3.3,8.5,,021
   Age-Adjusted Rate,Asthma,Cambria,2009,Total,All Races,35 to 64,78,"59,624",12.8,10.0,15.6,-,021
   Age-Adjusted Rate,Asthma,Cambria,2009,Total,All Races,65+,51,"27,110",18.2,13.2,23.2,-,021
   Age-Adjusted Rate,Asthma,Cambria,2009,Total,White,All ages,156,"136,682",10.5,8.9,12.1,,021
   Age-Adjusted Rate,Asthma,Cambria,2009,Total,White,5 to 14,13,"14,394",ND,ND,ND,-,021
   Age-Adjusted Rate,Asthma,Cambria,2009,Total,White,15 to 34,12,"31,725",ND,ND,ND,-,021
   Age-Adjusted Rate,Asthma,Cambria,2009,Total,White,35 to 64,68,"57,069",12.0,9.1,14.9,,021
   Age-Adjusted Rate,Asthma,Cambria,2009,Total,White,65+,51,"26,567",18.5,13.4,23.6,,021
   Age-Adjusted Rate,Asthma,Cambria,2009,Total,Black,All ages,23,"5,095",45.8,27.1,64.5,,021
   Age-Adjusted Rate,Asthma,Cambria,2009,Total,Black,5 to 14,ND,669,ND,ND,ND,-,021
   Age-Adjusted Rate,Asthma,Cambria,2009,Total,Black,15 to 34,ND,"1,809",ND,ND,ND,-,021
   Age-Adjusted Rate,Asthma,Cambria,2009,Total,Black,35 to 64,10,"1,910",ND,ND,ND,-,021
   Age-Adjusted Rate,Asthma,Cambria,2009,Total,Black,65+,ND,391,ND,ND,ND,-,021
   Age-Adjusted Rate,Asthma,Cambria,2009,Total,Hispanic,All ages,ND,"1,876",ND,ND,ND,-,021
   Age-Adjusted Rate,Asthma,Cambria,2009,Total,Hispanic,5 to 14,ND,263,ND,ND,ND,-,021
   Age-Adjusted Rate,Asthma,Cambria,2009,Total,Hispanic,15 to 34,ND,682,ND,ND,ND,-,021
   Age-Adjusted Rate,Asthma,Cambria,2009,Total,Hispanic,35 to 64,ND,640,ND,ND,ND,-,021
   Age-Adjusted Rate,Asthma,Cambria,2009,Total,Hispanic,65+,ND,130,ND,ND,ND,-,021
   Age-Adjusted Rate,Asthma,Cameron,2009,Total,All Races,All ages,ND,"5,163",ND,ND,ND,-,023
   Age-Adjusted Rate,Asthma,Cameron,2009,Total,All Races,5 to 14,ND,567,ND,ND,ND,-,023
   Age-Adjusted Rate,Asthma,Cameron,2009,Total,All Races,15 to 34,ND,"1,081",ND,ND,ND,-,023
   Age-Adjusted Rate,Asthma,Cameron,2009,Total,All Races,35 to 64,ND,"2,240",ND,ND,ND,-,023
   Age-Adjusted Rate,Asthma,Cameron,2009,Total,All Races,65+,ND,"1,028",ND,ND,ND,-,023
   Age-Adjusted Rate,Asthma,Cameron,2009,Total,White,All ages,ND,"5,078",ND,ND,ND,-,023
   Age-Adjusted Rate,Asthma,Cameron,2009,Total,White,5 to 14,ND,550,ND,ND,ND,-,023
   Age-Adjusted Rate,Asthma,Cameron,2009,Total,White,15 to 34,ND,"1,050",ND,ND,ND,-,023
   Age-Adjusted Rate,Asthma,Cameron,2009,Total,White,35 to 64,ND,"2,218",ND,ND,ND,-,023
   Age-Adjusted Rate,Asthma,Cameron,2009,Total,White,65+,ND,"1,020",ND,ND,ND,-,023
   Age-Adjusted Rate,Asthma,Cameron,2009,Total,Black,All ages,ND,30,ND,ND,ND,-,023
   Age-Adjusted Rate,Asthma,Cameron,2009,Total,Black,5 to 14,ND,8,ND,ND,ND,-,023
   Age-Adjusted Rate,Asthma,Cameron,2009,Total,Black,15 to 34,ND,13,ND,ND,ND,-,023
   Age-Adjusted Rate,Asthma,Cameron,2009,Total,Black,35 to 64,ND,9,ND,ND,ND,-,023
   Age-Adjusted Rate,Asthma,Cameron,2009,Total,Black,65+,ND,,ND,ND,ND,-,023
   Age-Adjusted Rate,Asthma,Cameron,2009,Total,Hispanic,All ages,ND,41,ND,ND,ND,-,023
   Age-Adjusted Rate,Asthma,Cameron,2009,Total,Hispanic,5 to 14,ND,10,ND,ND,ND,-,023
   Age-Adjusted Rate,Asthma,Cameron,2009,Total,Hispanic,15 to 34,ND,13,ND,ND,ND,-,023
   Age-Adjusted Rate,Asthma,Cameron,2009,Total,Hispanic,35 to 64,ND,9,ND,ND,ND,-,023
   Age-Adjusted Rate,Asthma,Cameron,2009,Total,Hispanic,65+,ND,5,ND,ND,ND,-,023
   Age-Adjusted Rate,Asthma,Carbon,2009,Total,All Races,All ages,93,"63,865",12.4,9.9,14.9,-,025
   Age-Adjusted Rate,Asthma,Carbon,2009,Total,All Races,5 to 14,ND,"7,435",ND,ND,ND,-,025
   Age-Adjusted Rate,Asthma,Carbon,2009,Total,All Races,15 to 34,ND,"14,325",ND,ND,ND,-,025
   Age-Adjusted Rate,Asthma,Carbon,2009,Total,All Races,35 to 64,36,"27,671",12.9,8.7,17.1,-,025
   Age-Adjusted Rate,Asthma,Carbon,2009,Total,All Races,65+,43,"11,074",37.4,26.2,48.6,,025
   Age-Adjusted Rate,Asthma,Carbon,2009,Total,White,All ages,78,"61,830",10.1,7.9,12.3,,025
   Age-Adjusted Rate,Asthma,Carbon,2009,Total,White,5 to 14,ND,"7,023",ND,ND,ND,-,025
   Age-Adjusted Rate,Asthma,Carbon,2009,Total,White,15 to 34,ND,"13,703",ND,ND,ND,-,025
   Age-Adjusted Rate,Asthma,Carbon,2009,Total,White,35 to 64,28,"26,967",9.9,6.2,13.6,,025
   Age-Adjusted Rate,Asthma,Carbon,2009,Total,White,65+,42,"10,956",37.0,25.8,48.2,+,025
   Age-Adjusted Rate,Asthma,Carbon,2009,Total,Black,All ages,ND,"1,158",ND,ND,ND,-,025
   Age-Adjusted Rate,Asthma,Carbon,2009,Total,Black,5 to 14,ND,239,ND,ND,ND,-,025
   Age-Adjusted Rate,Asthma,Carbon,2009,Total,Black,15 to 34,ND,384,ND,ND,ND,-,025
   Age-Adjusted Rate,Asthma,Carbon,2009,Total,Black,35 to 64,ND,412,ND,ND,ND,-,025
   Age-Adjusted Rate,Asthma,Carbon,2009,Total,Black,65+,ND,44,ND,ND,ND,-,025
   Age-Adjusted Rate,Asthma,Carbon,2009,Total,Hispanic,All ages,ND,"1,975",ND,ND,ND,-,025
   Age-Adjusted Rate,Asthma,Carbon,2009,Total,Hispanic,5 to 14,ND,428,ND,ND,ND,-,025
   Age-Adjusted Rate,Asthma,Carbon,2009,Total,Hispanic,15 to 34,ND,585,ND,ND,ND,-,025
   Age-Adjusted Rate,Asthma,Carbon,2009,Total,Hispanic,35 to 64,ND,642,ND,ND,ND,-,025
   Age-Adjusted Rate,Asthma,Carbon,2009,Total,Hispanic,65+,ND,107,ND,ND,ND,-,025
   Age-Adjusted Rate,Asthma,Centre,2009,Total,All Races,All ages,108,"146,212",8.8,7.1,10.5,-,027
   Age-Adjusted Rate,Asthma,Centre,2009,Total,All Races,5 to 14,ND,"12,735",ND,ND,ND,-,027
   Age-Adjusted Rate,Asthma,Centre,2009,Total,All Races,15 to 34,16,"64,789",ND,ND,ND,-,027
   Age-Adjusted Rate,Asthma,Centre,2009,Total,All Races,35 to 64,57,"45,521",12.3,9.1,15.5,-,027
   Age-Adjusted Rate,Asthma,Centre,2009,Total,All Races,65+,26,"16,611",15.5,9.5,21.5,-,027
   Age-Adjusted Rate,Asthma,Centre,2009,Total,White,All ages,107,"133,053",9.4,7.6,11.2,-,027
   Age-Adjusted Rate,Asthma,Centre,2009,Total,White,5 to 14,ND,"11,545",ND,ND,ND,-,027
   Age-Adjusted Rate,Asthma,Centre,2009,Total,White,15 to 34,16,"57,209",ND,ND,ND,-,027
   Age-Adjusted Rate,Asthma,Centre,2009,Total,White,35 to 64,57,"42,371",13.3,9.8,16.8,,027
   Age-Adjusted Rate,Asthma,Centre,2009,Total,White,65+,26,"16,238",15.9,9.8,22.0,-,027
   Age-Adjusted Rate,Asthma,Centre,2009,Total,Black,All ages,ND,"4,586",ND,ND,ND,-,027
   Age-Adjusted Rate,Asthma,Centre,2009,Total,Black,5 to 14,ND,239,ND,ND,ND,-,027
   Age-Adjusted Rate,Asthma,Centre,2009,Total,Black,15 to 34,ND,"2,983",ND,ND,ND,-,027
   Age-Adjusted Rate,Asthma,Centre,2009,Total,Black,35 to 64,ND,"1,150",ND,ND,ND,-,027
   Age-Adjusted Rate,Asthma,Centre,2009,Total,Black,65+,ND,72,ND,ND,ND,-,027
   Age-Adjusted Rate,Asthma,Centre,2009,Total,Hispanic,All ages,ND,"3,559",ND,ND,ND,-,027
   Age-Adjusted Rate,Asthma,Centre,2009,Total,Hispanic,5 to 14,ND,331,ND,ND,ND,-,027
   Age-Adjusted Rate,Asthma,Centre,2009,Total,Hispanic,15 to 34,ND,"2,228",ND,ND,ND,-,027
   Age-Adjusted Rate,Asthma,Centre,2009,Total,Hispanic,35 to 64,ND,706,ND,ND,ND,-,027
   Age-Adjusted Rate,Asthma,Centre,2009,Total,Hispanic,65+,ND,90,ND,ND,ND,-,027
   Age-Adjusted Rate,Asthma,Chester,2009,Total,All Races,All ages,446,"498,894",8.7,7.9,9.5,-,029
   Age-Adjusted Rate,Asthma,Chester,2009,Total,All Races,5 to 14,25,"68,456",3.6,2.2,5.0,-,029
   Age-Adjusted Rate,Asthma,Chester,2009,Total,All Races,15 to 34,52,"121,876",4.4,3.2,5.6,-,029
   Age-Adjusted Rate,Asthma,Chester,2009,Total,All Races,35 to 64,187,"212,579",8.5,7.3,9.7,-,029
   Age-Adjusted Rate,Asthma,Chester,2009,Total,All Races,65+,130,"63,063",20.1,16.6,23.6,-,029
   Age-Adjusted Rate,Asthma,Chester,2009,Total,White,All ages,344,"442,226",7.4,6.6,8.2,-,029
   Age-Adjusted Rate,Asthma,Chester,2009,Total,White,5 to 14,14,"59,038",ND,ND,ND,-,029
   Age-Adjusted Rate,Asthma,Chester,2009,Total,White,15 to 34,34,"104,965",3.4,2.3,4.5,-,029
   Age-Adjusted Rate,Asthma,Chester,2009,Total,White,35 to 64,147,"192,075",7.3,6.1,8.5,-,029
   Age-Adjusted Rate,Asthma,Chester,2009,Total,White,65+,112,"58,540",18.8,15.3,22.3,-,029
   Age-Adjusted Rate,Asthma,Chester,2009,Total,Black,All ages,81,"31,787",27.2,21.3,33.1,-,029
   Age-Adjusted Rate,Asthma,Chester,2009,Total,Black,5 to 14,ND,"4,723",ND,ND,ND,-,029
   Age-Adjusted Rate,Asthma,Chester,2009,Total,Black,15 to 34,13,"10,320",ND,ND,ND,-,029
   Age-Adjusted Rate,Asthma,Chester,2009,Total,Black,35 to 64,34,"11,294",30.0,19.9,40.1,-,029
   Age-Adjusted Rate,Asthma,Chester,2009,Total,Black,65+,16,"3,116",ND,ND,ND,-,029
   Age-Adjusted Rate,Asthma,Chester,2009,Total,Hispanic,All ages,13,"27,289",ND,ND,ND,-,029
   Age-Adjusted Rate,Asthma,Chester,2009,Total,Hispanic,5 to 14,ND,"5,245",ND,ND,ND,-,029
   Age-Adjusted Rate,Asthma,Chester,2009,Total,Hispanic,15 to 34,ND,"8,914",ND,ND,ND,-,029
   Age-Adjusted Rate,Asthma,Chester,2009,Total,Hispanic,35 to 64,ND,"7,879",ND,ND,ND,-,029
   Age-Adjusted Rate,Asthma,Chester,2009,Total,Hispanic,65+,ND,836,ND,ND,ND,-,029
   Age-Adjusted Rate,Asthma,Clarion,2009,Total,All Races,All ages,38,"39,479",9.7,6.6,12.8,-,031
   Age-Adjusted Rate,Asthma,Clarion,2009,Total,All Races,5 to 14,ND,"4,212",ND,ND,ND,-,031
   Age-Adjusted Rate,Asthma,Clarion,2009,Total,All Races,15 to 34,ND,"11,344",ND,ND,ND,-,031
   Age-Adjusted Rate,Asthma,Clarion,2009,Total,All Races,35 to 64,10,"15,270",ND,ND,ND,-,031
   Age-Adjusted Rate,Asthma,Clarion,2009,Total,All Races,65+,19,"6,684",ND,ND,ND,-,031
   Age-Adjusted Rate,Asthma,Clarion,2009,Total,White,All ages,38,"38,529",9.9,6.8,13.0,,031
   Age-Adjusted Rate,Asthma,Clarion,2009,Total,White,5 to 14,ND,"4,097",ND,ND,ND,-,031
   Age-Adjusted Rate,Asthma,Clarion,2009,Total,White,15 to 34,ND,"10,836",ND,ND,ND,-,031
   Age-Adjusted Rate,Asthma,Clarion,2009,Total,White,35 to 64,10,"15,072",ND,ND,ND,-,031
   Age-Adjusted Rate,Asthma,Clarion,2009,Total,White,65+,19,"6,618",ND,ND,ND,-,031
   Age-Adjusted Rate,Asthma,Clarion,2009,Total,Black,All ages,ND,467,ND,ND,ND,-,031
   Age-Adjusted Rate,Asthma,Clarion,2009,Total,Black,5 to 14,ND,52,ND,ND,ND,-,031
   Age-Adjusted Rate,Asthma,Clarion,2009,Total,Black,15 to 34,ND,307,ND,ND,ND,-,031
   Age-Adjusted Rate,Asthma,Clarion,2009,Total,Black,35 to 64,ND,68,ND,ND,ND,-,031
   Age-Adjusted Rate,Asthma,Clarion,2009,Total,Black,65+,ND,13,ND,ND,ND,-,031
   Age-Adjusted Rate,Asthma,Clarion,2009,Total,Hispanic,All ages,ND,223,ND,ND,ND,-,031
   Age-Adjusted Rate,Asthma,Clarion,2009,Total,Hispanic,5 to 14,ND,44,ND,ND,ND,-,031
   Age-Adjusted Rate,Asthma,Clarion,2009,Total,Hispanic,15 to 34,ND,93,ND,ND,ND,-,031
   Age-Adjusted Rate,Asthma,Clarion,2009,Total,Hispanic,35 to 64,ND,48,ND,ND,ND,-,031
   Age-Adjusted Rate,Asthma,Clarion,2009,Total,Hispanic,65+,ND,17,ND,ND,ND,-,031
   Age-Adjusted Rate,Asthma,Clearfield,2009,Total,All Races,All ages,95,"82,324",10.8,8.6,13.0,-,033
   Age-Adjusted Rate,Asthma,Clearfield,2009,Total,All Races,5 to 14,ND,"8,952",ND,ND,ND,-,033
   Age-Adjusted Rate,Asthma,Clearfield,2009,Total,All Races,15 to 34,14,"19,554",ND,ND,ND,-,033
   Age-Adjusted Rate,Asthma,Clearfield,2009,Total,All Races,35 to 64,39,"35,168",10.6,7.3,13.9,-,033
   Age-Adjusted Rate,Asthma,Clearfield,2009,Total,All Races,65+,27,"14,625",17.4,10.8,24.0,-,033
   Age-Adjusted Rate,Asthma,Clearfield,2009,Total,White,All ages,95,"78,930",11.3,9.0,13.6,,033
   Age-Adjusted Rate,Asthma,Clearfield,2009,Total,White,5 to 14,ND,"8,711",ND,ND,ND,-,033
   Age-Adjusted Rate,Asthma,Clearfield,2009,Total,White,15 to 34,14,"17,891",ND,ND,ND,-,033
   Age-Adjusted Rate,Asthma,Clearfield,2009,Total,White,35 to 64,39,"33,923",11.0,7.5,14.5,,033
   Age-Adjusted Rate,Asthma,Clearfield,2009,Total,White,65+,27,"14,493",17.6,11.0,24.2,,033
   Age-Adjusted Rate,Asthma,Clearfield,2009,Total,Black,All ages,ND,"2,528",ND,ND,ND,-,033
   Age-Adjusted Rate,Asthma,Clearfield,2009,Total,Black,5 to 14,ND,75,ND,ND,ND,-,033
   Age-Adjusted Rate,Asthma,Clearfield,2009,Total,Black,15 to 34,ND,"1,428",ND,ND,ND,-,033
   Age-Adjusted Rate,Asthma,Clearfield,2009,Total,Black,35 to 64,ND,953,ND,ND,ND,-,033
   Age-Adjusted Rate,Asthma,Clearfield,2009,Total,Black,65+,ND,45,ND,ND,ND,-,033
   Age-Adjusted Rate,Asthma,Clearfield,2009,Total,Hispanic,All ages,ND,855,ND,ND,ND,-,033
   Age-Adjusted Rate,Asthma,Clearfield,2009,Total,Hispanic,5 to 14,ND,102,ND,ND,ND,-,033
   Age-Adjusted Rate,Asthma,Clearfield,2009,Total,Hispanic,15 to 34,ND,406,ND,ND,ND,-,033
   Age-Adjusted Rate,Asthma,Clearfield,2009,Total,Hispanic,35 to 64,ND,258,ND,ND,ND,-,033
   Age-Adjusted Rate,Asthma,Clearfield,2009,Total,Hispanic,65+,ND,33,ND,ND,ND,-,033
   Age-Adjusted Rate,Asthma,Clinton,2009,Total,All Races,All ages,38,"36,797",9.1,6.2,12.0,-,035
   Age-Adjusted Rate,Asthma,Clinton,2009,Total,All Races,5 to 14,ND,"4,056",ND,ND,ND,-,035
   Age-Adjusted Rate,Asthma,Clinton,2009,Total,All Races,15 to 34,ND,"10,557",ND,ND,ND,-,035
   Age-Adjusted Rate,Asthma,Clinton,2009,Total,All Races,35 to 64,13,"13,858",ND,ND,ND,-,035
   Age-Adjusted Rate,Asthma,Clinton,2009,Total,All Races,65+,14,"6,166",ND,ND,ND,-,035
   Age-Adjusted Rate,Asthma,Clinton,2009,Total,White,All ages,37,"35,917",9.0,6.1,11.9,,035
   Age-Adjusted Rate,Asthma,Clinton,2009,Total,White,5 to 14,ND,"3,920",ND,ND,ND,-,035
   Age-Adjusted Rate,Asthma,Clinton,2009,Total,White,15 to 34,ND,"10,150",ND,ND,ND,-,035
   Age-Adjusted Rate,Asthma,Clinton,2009,Total,White,35 to 64,12,"13,675",ND,ND,ND,-,035
   Age-Adjusted Rate,Asthma,Clinton,2009,Total,White,65+,14,"6,103",ND,ND,ND,-,035
   Age-Adjusted Rate,Asthma,Clinton,2009,Total,Black,All ages,ND,371,ND,ND,ND,-,035
   Age-Adjusted Rate,Asthma,Clinton,2009,Total,Black,5 to 14,ND,55,ND,ND,ND,-,035
   Age-Adjusted Rate,Asthma,Clinton,2009,Total,Black,15 to 34,ND,220,ND,ND,ND,-,035
   Age-Adjusted Rate,Asthma,Clinton,2009,Total,Black,35 to 64,ND,57,ND,ND,ND,-,035
   Age-Adjusted Rate,Asthma,Clinton,2009,Total,Black,65+,ND,6,ND,ND,ND,-,035
   Age-Adjusted Rate,Asthma,Clinton,2009,Total,Hispanic,All ages,ND,388,ND,ND,ND,-,035
   Age-Adjusted Rate,Asthma,Clinton,2009,Total,Hispanic,5 to 14,ND,59,ND,ND,ND,-,035
   Age-Adjusted Rate,Asthma,Clinton,2009,Total,Hispanic,15 to 34,ND,173,ND,ND,ND,-,035
   Age-Adjusted Rate,Asthma,Clinton,2009,Total,Hispanic,35 to 64,ND,66,ND,ND,ND,-,035
   Age-Adjusted Rate,Asthma,Clinton,2009,Total,Hispanic,65+,ND,48,ND,ND,ND,-,035
   Age-Adjusted Rate,Asthma,Columbia,2009,Total,All Races,All ages,96,"65,111",14.9,11.9,17.9,-,037
   Age-Adjusted Rate,Asthma,Columbia,2009,Total,All Races,5 to 14,ND,"6,754",ND,ND,ND,-,037
   Age-Adjusted Rate,Asthma,Columbia,2009,Total,All Races,15 to 34,ND,"18,855",ND,ND,ND,-,037
   Age-Adjusted Rate,Asthma,Columbia,2009,Total,All Races,35 to 64,54,"25,443",20.6,15.1,26.1,,037
   Age-Adjusted Rate,Asthma,Columbia,2009,Total,All Races,65+,22,"10,787",20.7,12.1,29.3,,037
   Age-Adjusted Rate,Asthma,Columbia,2009,Total,White,All ages,92,"63,245",14.8,11.8,17.8,+,037
   Age-Adjusted Rate,Asthma,Columbia,2009,Total,White,5 to 14,ND,"6,461",ND,ND,ND,-,037
   Age-Adjusted Rate,Asthma,Columbia,2009,Total,White,15 to 34,ND,"18,004",ND,ND,ND,-,037
   Age-Adjusted Rate,Asthma,Columbia,2009,Total,White,35 to 64,54,"24,987",21.0,15.4,26.6,+,037
   Age-Adjusted Rate,Asthma,Columbia,2009,Total,White,65+,20,"10,684",19.2,10.8,27.6,,037
   Age-Adjusted Rate,Asthma,Columbia,2009,Total,Black,All ages,ND,847,ND,ND,ND,-,037
   Age-Adjusted Rate,Asthma,Columbia,2009,Total,Black,5 to 14,ND,121,ND,ND,ND,-,037
   Age-Adjusted Rate,Asthma,Columbia,2009,Total,Black,15 to 34,ND,473,ND,ND,ND,-,037
   Age-Adjusted Rate,Asthma,Columbia,2009,Total,Black,35 to 64,ND,166,ND,ND,ND,-,037
   Age-Adjusted Rate,Asthma,Columbia,2009,Total,Black,65+,ND,29,ND,ND,ND,-,037
   Age-Adjusted Rate,Asthma,Columbia,2009,Total,Hispanic,All ages,ND,"1,248",ND,ND,ND,-,037
   Age-Adjusted Rate,Asthma,Columbia,2009,Total,Hispanic,5 to 14,ND,206,ND,ND,ND,-,037
   Age-Adjusted Rate,Asthma,Columbia,2009,Total,Hispanic,15 to 34,ND,596,ND,ND,ND,-,037
   Age-Adjusted Rate,Asthma,Columbia,2009,Total,Hispanic,35 to 64,ND,280,ND,ND,ND,-,037
   Age-Adjusted Rate,Asthma,Columbia,2009,Total,Hispanic,65+,ND,41,ND,ND,ND,-,037
   Age-Adjusted Rate,Asthma,Crawford,2009,Total,All Races,All ages,138,"88,521",14.1,11.7,16.5,-,039
   Age-Adjusted Rate,Asthma,Crawford,2009,Total,All Races,5 to 14,ND,"10,775",ND,ND,ND,-,039
   Age-Adjusted Rate,Asthma,Crawford,2009,Total,All Races,15 to 34,ND,"21,740",ND,ND,ND,-,039
   Age-Adjusted Rate,Asthma,Crawford,2009,Total,All Races,35 to 64,72,"36,048",20.2,15.5,24.9,,039
   Age-Adjusted Rate,Asthma,Crawford,2009,Total,All Races,65+,48,"14,674",31.6,22.7,40.5,,039
